id_client,recency,customer_age,total_purchases,total_spent,avg_order_value,std_order_value,unique_products,purchase_velocity,avg_gap_days,spend_data_esim,spend_full_esim,spend_local_esim,share_data_esim,share_full_esim,share_local_esim,cluster,PC1,PC2,cluster_name
15735905,730,730,1,9.0,9.0,0.0,1,30.0,0.0,0.0,0.0,9.0,0.0,0.0,1.0,0,-3.110706853603559,-4.1209311224214495,eSIM - Local Data Users
15736044,574,730,2,5.0,2.5,0.0,1,0.3846153846153846,156.0,5.0,0.0,0.0,1.0,0.0,0.0,1,0.4898992310375032,0.39571725110693695,eSIM - High-Value Global Power Users
15736049,7,730,2,28.0,14.0,0.0,1,1.6216216216216215,37.0,28.0,0.0,0.0,1.0,0.0,0.0,1,1.695883403811174,0.056639832136907944,eSIM - High-Value Global Power Users
15736262,394,730,1,3.5,3.5,0.0,1,30.0,0.0,3.5,0.0,0.0,1.0,0.0,0.0,2,-0.7108031769476201,0.5842694730084934,eSIM - Data-Only Minimal Users
15736435,9,730,2,21.5,10.75,1.0606601717798212,1,0.08333333333333333,720.0,21.5,0.0,0.0,1.0,0.0,0.0,1,4.286040377885258,0.06384121690923855,eSIM - High-Value Global Power Users
15736461,149,730,5,23.5,4.7,1.6046806535881213,1,0.25817555938037867,145.25,23.5,0.0,0.0,1.0,0.0,0.0,1,2.3387463399401405,0.1369529172974442,eSIM - High-Value Global Power Users
15736510,388,730,3,17.0,5.666666666666667,1.1547005383792515,1,0.2631578947368421,171.0,17.0,0.0,0.0,1.0,0.0,0.0,1,1.4785651827577853,0.1560944711915107,eSIM - High-Value Global Power Users
15736603,201,730,2,12.0,6.0,0.0,1,10.0,6.0,12.0,0.0,0.0,1.0,0.0,0.0,2,0.5607778113512981,0.4235195049657826,eSIM - Data-Only Minimal Users
15736890,363,730,3,63.0,21.0,7.937253933193772,1,0.2452316076294278,183.5,63.0,0.0,0.0,1.0,0.0,0.0,1,3.3941714234531184,-1.131296029383126,eSIM - High-Value Global Power Users
15737096,723,730,2,39.0,19.5,13.435028842544403,2,8.571428571428571,7.0,10.0,0.0,29.0,0.2564102564102564,0.0,0.7435897435897436,0,-0.17778887322165704,-8.136433066504528,eSIM - Local Data Users
15737233,730,730,1,4.0,4.0,0.0,1,30.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,2,-1.3165915161396613,0.40312708619679966,eSIM - Data-Only Minimal Users
15737266,730,730,1,16.0,16.0,0.0,1,30.0,0.0,0.0,0.0,16.0,0.0,0.0,1.0,0,-3.156327563601736,-5.104604953098159,eSIM - Local Data Users
15737585,730,730,1,8.0,8.0,0.0,1,30.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,0,-3.104189609318105,-3.980406289467634,eSIM - Local Data Users
15737663,76,730,2,7.0,3.5,0.0,1,2.608695652173913,23.0,7.0,0.0,0.0,1.0,0.0,0.0,1,0.9052697869583877,0.6028510420509484,eSIM - High-Value Global Power Users
15737799,359,730,1,20.0,20.0,0.0,1,30.0,0.0,20.0,0.0,0.0,1.0,0.0,0.0,2,-0.004009001665327538,-0.14752924317755522,eSIM - Data-Only Minimal Users
15737943,276,730,7,75.5,10.785714285714286,9.711921981329368,1,0.4625550660792952,75.66666666666667,75.5,0.0,0.0,1.0,0.0,0.0,1,4.064518222974916,-1.0817244494058897,eSIM - High-Value Global Power Users
15738399,356,730,3,20.48,6.826666666666667,3.5418968552646097,1,0.24064171122994651,187.0,20.48,0.0,0.0,1.0,0.0,0.0,1,1.9347027199520517,-0.01659588129762391,eSIM - High-Value Global Power Users
15738643,277,730,6,59.5,9.916666666666666,4.913417005167246,1,0.3973509933774835,90.6,59.5,0.0,0.0,1.0,0.0,0.0,1,3.141352463537249,-0.6366780013596751,eSIM - High-Value Global Power Users
15738706,45,730,2,21.990000000000002,10.995000000000001,1.4071424945612303,1,0.8333333333333334,72.0,21.990000000000002,0.0,0.0,1.0,0.0,0.0,1,1.760193317630772,0.13045412518747546,eSIM - High-Value Global Power Users
15738829,729,730,2,28.0,14.0,7.0710678118654755,2,60.0,1.0,19.0,0.0,9.0,0.6785714285714286,0.0,0.32142857142857145,0,-0.901862433246818,-4.09246385996268,eSIM - Local Data Users
15739457,1,730,9,61.0,6.777777777777778,3.3082388735465345,1,0.37037037037037035,91.125,61.0,0.0,0.0,1.0,0.0,0.0,1,4.0143557613855645,-0.46735192462440467,eSIM - High-Value Global Power Users
15739502,730,730,1,4.0,4.0,0.0,1,30.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,2,-1.3165915161396613,0.40312708619679966,eSIM - Data-Only Minimal Users
15739579,475,730,1,12.0,12.0,0.0,1,30.0,0.0,12.0,0.0,0.0,1.0,0.0,0.0,2,-0.5309738405693948,0.1605769538190432,eSIM - Data-Only Minimal Users
15739613,726,730,1,12.0,12.0,0.0,1,30.0,0.0,12.0,0.0,0.0,1.0,0.0,0.0,2,-0.9980375959882145,0.04219873641379625,eSIM - Data-Only Minimal Users
15739665,250,730,4,31.5,7.875,2.780137886268713,1,0.26666666666666666,150.0,31.5,0.0,0.0,1.0,0.0,0.0,1,2.306348580221169,-0.11048112700070757,eSIM - High-Value Global Power Users
15739905,3,730,7,39.5,5.642857142857143,2.4952335514317046,1,0.2888583218707015,121.16666666666667,39.5,0.0,0.0,1.0,0.0,0.0,1,3.278641198918247,-0.10438667235195322,eSIM - High-Value Global Power Users
15740000,702,730,1,5.0,5.0,0.0,1,30.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,2,-1.2255999523198637,0.3709807674884433,eSIM - Data-Only Minimal Users
15740373,725,730,1,5.0,5.0,0.0,1,30.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,2,-1.268398623135134,0.3601333611126637,eSIM - Data-Only Minimal Users
15740443,730,730,1,4.0,4.0,0.0,1,30.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,2,-1.3165915161396613,0.40312708619679966,eSIM - Data-Only Minimal Users
15740575,730,730,1,5.0,5.0,0.0,1,30.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,2,-1.277702682008019,0.357775229291842,eSIM - Data-Only Minimal Users
15740623,466,730,7,26.4750979308818,3.782156847268829,1.180291229658187,1,0.7954545454545454,44.0,26.4750979308818,0.0,0.0,1.0,0.0,0.0,1,1.7109913307600606,-0.05862569805871942,eSIM - High-Value Global Power Users
15741184,729,730,2,10.0,5.0,0.0,1,60.0,1.0,10.0,0.0,0.0,1.0,0.0,0.0,2,-1.7515737580490913,0.3213144523585722,eSIM - Data-Only Minimal Users
15741220,13,730,1,9.5,9.5,0.0,1,30.0,0.0,9.5,0.0,0.0,1.0,0.0,0.0,2,0.23149911395605993,0.49184797632535776,eSIM - Data-Only Minimal Users
15741284,562,730,1,2.5,2.5,0.0,1,30.0,0.0,2.5,0.0,0.0,1.0,0.0,0.0,2,-1.0623083892081937,0.5503881007338436,eSIM - Data-Only Minimal Users
15741636,620,730,2,25.0,12.5,0.7071067811865476,2,0.5454545454545455,110.0,12.0,0.0,13.0,0.48,0.0,0.52,0,-0.03487654554408216,-4.855209061595767,eSIM - Local Data Users
15741672,474,730,1,11.0,11.0,0.0,1,30.0,0.0,11.0,0.0,0.0,1.0,0.0,0.0,2,-0.5680018629264602,0.20640043708816505,eSIM - Data-Only Minimal Users
15741705,730,730,1,11.0,11.0,0.0,1,30.0,0.0,0.0,0.0,11.0,0.0,0.0,1.0,0,-3.1237413421744664,-4.401980788329081,eSIM - Local Data Users
15741840,297,730,5,28.12,5.6240000000000006,0.9473805993369298,1,0.4716981132075472,79.5,28.12,0.0,0.0,1.0,0.0,0.0,1,1.8339471764673625,0.03281757378225353,eSIM - High-Value Global Power Users
15742103,112,730,12,82.48,6.873333333333334,4.3360818789093525,1,0.6153846153846154,53.18181818181818,82.48,0.0,0.0,1.0,0.0,0.0,1,4.694464072927902,-0.8989882911803748,eSIM - High-Value Global Power Users
15742117,31,730,2,15.9850979308818,7.9925489654409,2.8389644788733794,2,0.5084745762711864,118.0,10.0,5.985097930881801,0.0,0.6255826547475122,0.3744173452524879,0.0,1,2.6325282613118306,-3.2716860295573333,eSIM - High-Value Global Power Users
15742148,389,730,1,4.99,4.99,0.0,1,30.0,0.0,4.99,0.0,0.0,1.0,0.0,0.0,2,-0.6435547552185881,0.5190533380409283,eSIM - Data-Only Minimal Users
15742227,730,730,1,3.0,3.0,0.0,1,30.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,2,-1.3554803502713035,0.4484789431017572,eSIM - Data-Only Minimal Users
15742229,730,730,1,9.0,9.0,0.0,1,30.0,0.0,9.0,0.0,0.0,1.0,0.0,0.0,2,-1.1221473454814497,0.1763678016720116,eSIM - Data-Only Minimal Users
15742277,730,730,1,13.0,13.0,0.0,1,30.0,0.0,0.0,0.0,13.0,0.0,0.0,1.0,0,-3.1367758307453744,-4.683030454236712,eSIM - Local Data Users
15742654,88,730,6,51.4850979308818,8.580849655146967,3.8022496608410843,1,0.6642066420664207,54.2,51.4850979308818,0.0,0.0,1.0,0.0,0.0,1,3.0663185765040915,-0.36613829155538213,eSIM - High-Value Global Power Users
