id_client,last_purchase_date,days_since_last,reactivation_score,reactivation_probability,frequency,total_spend,avg_spend,tenure_days,product_diversity,renewal_rate,prior_reactivations,segment_Calls - Infrequent Casual Users,segment_Calls - Regular Calling Offer Users,segment_eSIM - Dormant Local Data Users,segment_eSIM - High-Value Bundle Subscribers,segment_eSIM - High-Velocity Light Spenders,segment_Virtual - High-Spend Power Users,segment_Virtual - Light Occasional Users,segment_Virtual - Mid-Tier Phone Plan Holders
16059892,2025-01-20,345,75.14,0.7514239161447724,6,59.98,9.996666666666666,366,4,0.0,1,1,0,0,1,0,1,0,0
15765340,2025-03-31,275,74.53,0.7452789059742247,10,54.5250979308818,5.45250979308818,424,5,0.0,2,1,0,0,1,0,1,0,0
16909580,2025-08-18,135,74.37,0.7436959679039492,8,73.9750979308818,9.246887241360225,518,5,0.0,2,0,0,0,1,0,1,0,0
17334554,2025-09-18,104,74.23,0.7423188907179056,15,204.9501958617636,13.66334639078424,471,5,0.0,2,1,0,0,1,0,1,0,0
15764786,2025-04-13,262,74.17,0.7416774348484177,11,111.46,10.132727272727273,448,4,0.0,1,0,0,0,1,0,1,0,0
18810427,2025-09-06,116,74.11,0.7410989456072008,3,51.489999999999995,17.16333333333333,311,3,0.0,1,0,0,0,1,0,1,0,0
19654047,2025-03-14,292,74.08,0.740820369786238,5,18.07,3.614,149,3,0.0,1,1,0,0,1,0,1,0,0
17675176,2024-11-19,407,73.85,0.7385368922348614,4,32.989999999999995,8.247499999999999,121,4,0.0,0,1,0,0,1,0,1,0,0
18924665,2025-03-27,279,73.8,0.7379882696068941,13,71.49,5.499230769230769,234,5,0.0,0,1,0,0,1,0,1,0,0
16188195,2025-01-31,334,73.65,0.7364614261626862,5,41.989999999999995,8.398,241,5,0.0,1,1,0,0,1,0,1,0,0
19809864,2025-05-04,241,73.63,0.7363232621808633,3,19.990000000000002,6.663333333333334,72,3,0.0,0,1,0,0,1,0,1,0,0
19856583,2025-05-28,217,73.5,0.7350278646258956,3,115.97,38.656666666666666,218,2,0.0,1,0,0,0,1,0,1,0,0
16098823,2025-08-27,126,73.42,0.7342148515574449,14,111.43,7.9592857142857145,577,7,0.0,1,0,1,0,1,0,1,0,0
18327086,2025-03-28,278,73.38,0.7337762918309376,13,82.41,6.339230769230769,245,2,0.0,0,0,0,0,1,0,1,0,0
18220977,2025-04-18,257,73.38,0.7337673160906516,4,44.98,11.245,237,4,0.0,1,0,0,0,1,0,1,0,0
17264634,2025-02-25,309,73.35,0.7335054642599321,9,47.99,5.332222222222223,317,3,0.0,1,0,0,0,1,0,1,0,0
20474525,2025-06-19,195,73.28,0.7328178821758047,5,51.0,10.2,180,3,0.0,1,0,1,0,1,0,1,0,0
16568660,2025-09-17,105,73.26,0.7326193375063005,14,130.55,9.325000000000001,571,7,0.0,2,1,0,0,1,0,1,0,0
16625976,2025-02-13,321,73.25,0.7325244750094562,29,166.3650979308818,5.736727514857993,261,10,0.0,0,0,1,0,1,0,1,0,0
20403701,2025-09-11,111,73.25,0.732522619293524,8,80.47999999999999,10.059999999999999,269,3,0.0,1,0,0,0,1,0,1,0,0
16024288,2025-03-07,299,73.17,0.7316699996790638,14,88.48,6.32,372,6,0.0,2,0,0,0,1,0,1,0,0
17479913,2025-05-29,216,73.12,0.731217980393014,15,94.49,6.299333333333333,339,5,0.0,0,0,1,0,1,0,1,0,0
17772730,2025-03-03,303,73.08,0.7308310290289554,18,79.97,4.442777777777778,289,5,0.0,0,1,0,0,1,0,1,0,0
19279563,2025-08-30,123,73.07,0.7306859096644795,6,53.97,8.995,198,3,0.0,0,0,0,0,1,0,1,0,0
16418491,2025-07-09,175,73.06,0.7306447227780388,15,79.96000000000001,5.3306666666666676,508,5,0.0,2,1,0,0,1,0,1,0,0
16266631,2025-02-02,332,73.05,0.7304692207198461,3,35.989999999999995,11.996666666666664,94,2,0.0,0,0,0,0,1,0,1,0,0
15747818,2025-05-22,223,73.04,0.7303661507247385,4,44.98,11.245,392,2,0.0,1,0,0,0,1,0,1,0,0
17969396,2025-01-24,341,73.0,0.730021728859677,6,33.989999999999995,5.664999999999999,63,5,0.0,0,0,1,0,1,0,1,0,0
17746289,2025-09-06,116,72.98,0.7298483785414236,13,58.92,4.532307692307692,475,5,0.0,1,0,0,0,1,0,1,0,0
